event_date,start_time,peak_time,end_time,goes_class,goes_location,noaa_active_region
2012-03-15,2012-03-15 07:23:00.000,2012-03-15 07:52:00.000,2012-03-15 08:08:00.000,M1.8,"(3, 14)",11432
2012-03-17,2012-03-17 20:32:00.000,2012-03-17 20:39:00.000,2012-03-17 20:42:00.000,M1.3,"(25, -20)",11434
2012-03-23,2012-03-23 19:34:00.000,2012-03-23 19:40:00.000,2012-03-23 19:44:00.000,M1.0,"(0, 0)",11445
2012-04-16,2012-04-16 17:24:00.000,2012-04-16 17:45:00.000,2012-04-16 18:00:00.000,M1.7,"(0, 0)",11461
2012-04-27,2012-04-27 08:15:00.000,2012-04-27 08:24:00.000,2012-04-27 08:29:00.000,M1.0,"(30, 11)",11466
2012-05-05,2012-05-05 13:19:00.000,2012-05-05 13:23:00.000,2012-05-05 13:29:00.000,M1.4,"(-82, 13)",11476
2012-05-05,2012-05-05 22:56:00.000,2012-05-05 23:01:00.000,2012-05-05 23:04:00.000,M1.3,"(-75, 9)",11476
2012-05-06,2012-05-06 01:12:00.000,2012-05-06 01:18:00.000,2012-05-06 01:20:00.000,M1.1,"(0, 0)",11476
2012-05-06,2012-05-06 17:41:00.000,2012-05-06 17:47:00.000,2012-05-06 17:52:00.000,M1.3,"(-64, 10)",11476
2012-05-07,2012-05-07 14:03:00.000,2012-05-07 14:31:00.000,2012-05-07 14:52:00.000,M1.9,"(46, -19)",11471
2012-05-08,2012-05-08 13:02:00.000,2012-05-08 13:08:00.000,2012-05-08 13:12:00.000,M1.4,"(-44, 13)",11476
2012-05-09,2012-05-09 12:21:00.000,2012-05-09 12:32:00.000,2012-05-09 12:36:00.000,M4.7,"(-31, 13)",11476
2012-05-09,2012-05-09 14:02:00.000,2012-05-09 14:08:00.000,2012-05-09 14:14:00.000,M1.8,"(-22, 6)",11476
2012-05-09,2012-05-09 21:01:00.000,2012-05-09 21:05:00.000,2012-05-09 21:09:00.000,M4.1,"(0, 0)",11476
2012-05-10,2012-05-10 04:11:00.000,2012-05-10 04:18:00.000,2012-05-10 04:23:00.000,M5.7,"(-22, 13)",11476
2012-05-10,2012-05-10 20:20:00.000,2012-05-10 20:26:00.000,2012-05-10 20:30:00.000,M1.7,"(0, 0)",11476
2012-05-17,2012-05-17 01:25:00.000,2012-05-17 01:47:00.000,2012-05-17 02:14:00.000,M5.1,"(76, 11)",11476
2012-06-03,2012-06-03 17:48:00.000,2012-06-03 17:55:00.000,2012-06-03 17:57:00.000,M3.3,"(0, 0)",11496
2012-06-06,2012-06-06 19:54:00.000,2012-06-06 20:06:00.000,2012-06-06 20:13:00.000,M2.1,"(5, -19)",11494
2012-06-09,2012-06-09 11:20:00.000,2012-06-09 11:32:00.000,2012-06-09 11:35:00.000,M1.9,"(0, 0)",11504
2012-06-09,2012-06-09 16:45:00.000,2012-06-09 16:53:00.000,2012-06-09 16:56:00.000,M1.8,"(-74, -17)",11504
2012-06-10,2012-06-10 06:39:00.000,2012-06-10 06:45:00.000,2012-06-10 06:50:00.000,M1.3,"(0, 0)",11504
2012-06-13,2012-06-13 11:29:00.000,2012-06-13 13:17:00.000,2012-06-13 14:31:00.000,M1.2,"(-18, -16)",11504
2012-06-14,2012-06-14 12:52:00.000,2012-06-14 14:35:00.000,2012-06-14 15:56:00.000,M1.9,"(0, 0)",11504
2012-06-28,2012-06-28 16:07:00.000,2012-06-28 16:12:00.000,2012-06-28 16:15:00.000,M2.4,"(-45, 16)",11513
2012-06-29,2012-06-29 09:13:00.000,2012-06-29 09:20:00.000,2012-06-29 09:22:00.000,M2.2,"(-37, 17)",11513
2012-06-30,2012-06-30 12:48:00.000,2012-06-30 12:52:00.000,2012-06-30 12:54:00.000,M1.0,"(-21, 17)",11513
2012-06-30,2012-06-30 18:26:00.000,2012-06-30 18:32:00.000,2012-06-30 18:34:00.000,M1.6,"(0, 0)",11513
2012-07-01,2012-07-01 19:11:00.000,2012-07-01 19:18:00.000,2012-07-01 19:21:00.000,M2.8,"(-4, 14)",11513
2012-07-02,2012-07-02 00:26:00.000,2012-07-02 00:35:00.000,2012-07-02 00:40:00.000,M1.1,"(-1, 15)",11513
